OrderID,Date,CustomerID,ProductID,Region,Quantity,SalesAmount,Profit
O100050,2023-03-29,C0144,P026,South,5,3508.7341652007376,788.2296027376829
O100051,2023-07-05,C0100,P033,South,5,563.3657847719534,82.07497590649244
O100052,2022-01-23,C0010,P005,West,2,1333.8353942485326,70.39065983078682
O100053,2024-02-01,C0147,P032,North,8,4771.033923180274,633.3730611083847
O100054,2023-05-31,C0016,P024,West,7,5814.759706567426,1174.778047464743
O100055,2022-09-15,C0128,P032,East,4,2313.9849023121255,246.2676194839372
O100056,2023-11-21,C0163,P033,North,3,1252.064819260571,277.89714313221697
O100057,2024-12-02,C0044,P029,North,2,636.9515683908079,158.3463207150194
O100058,2023-05-14,C0035,P023,North,8,1413.7981408309256,231.25036647406444
O100059,2023-08-28,C0154,P010,South,2,1162.3028137335762,312.5784728847321
O100060,2022-04-25,C0105,P007,West,5,4497.448669918558,1185.9958388323605
O100061,2023-02-17,C0120,P036,North,5,2816.3502228006023,759.0471888843105
O100062,2024-10-17,C0164,P010,North,9,6886.733145473729,1482.4330680695427
O100063,2024-07-08,C0192,P035,North,3,1105.774333187454,139.5456798786037
O100064,2024-09-04,C0096,P024,East,5,2516.588869436455,428.6073486264023
O100065,2022-10-06,C0099,P041,South,1,392.14288310133827,89.26256780039857
O100066,2022-03-03,C0084,P048,North,6,1190.0370013164459,122.14648469452928
O100067,2023-02-01,C0187,P019,North,4,1901.1589718206178,446.222690188699
O100068,2023-01-31,C0189,P041,East,9,7090.726577881453,1326.1229599580506
O100069,2023-03-31,C0028,P014,East,4,1821.9099983602619,134.82928353540893
O100070,2024-04-30,C0111,P016,North,5,3425.8064999822027,648.5791053462052
O100071,2023-01-31,C0025,P021,West,5,3913.769678228871,261.0250901527529
O100072,2023-07-23,C0039,P045,North,7,2733.238231462833,146.43821619260763
O100073,2023-02-02,C0122,P005,East,7,5724.341725514503,1559.350284031353
O100074,2024-01-03,C0075,P018,East,9,3645.2983074546482,628.7375084793892
O100075,2024-08-11,C0145,P038,East,8,2643.9708353152837,491.3090425295441
O100076,2022-06-19,C0137,P050,East,2,600.403101967757,72.0390317095763
O100077,2022-01-29,C0165,P038,East,8,2239.309849218843,415.8088914341128
O100078,2023-05-15,C0145,P007,North,4,3053.6466621282284,281.5986626366591
O100079,2024-12-29,C0159,P019,North,6,5392.550009707355,1274.86056346641
O100080,2022-06-16,C0091,P010,South,3,922.7508803002809,236.07408465430967
O100081,2022-02-08,C0126,P003,North,2,353.4325360330771,93.29521365819184
O100082,2024-12-17,C0148,P028,West,9,3441.512507936351,263.83729065522317
O100083,2024-10-21,C0131,P013,West,9,6228.562635263005,1179.9301861734255
O100084,2024-04-03,C0161,P038,North,6,2590.00849802061,653.1683960706443
O100085,2022-02-27,C0044,P045,West,5,2971.294426450485,243.80695552365518
O100086,2022-03-21,C0118,P021,East,5,3849.3723455383792,288.2433187235873
O100087,2022-02-16,C0049,P014,East,1,467.6306780395437,118.88831909123766
O100088,2023-10-18,C0185,P011,West,8,7997.802785872603,1992.924567155961
O100089,2022-12-24,C0152,P028,North,8,2945.234673695618,477.63837989329653
O100090,2023-11-07,C0090,P008,South,2,1960.8470333707107,151.82405666525835
O100091,2023-06-24,C0101,P041,West,6,1696.3601922588155,303.70070420679355
O100092,2024-08-16,C0145,P009,North,5,999.192844689304,148.58077536074086
O100093,2023-04-06,C0157,P013,South,3,2327.2426877547937,418.05856367554264
O100094,2023-01-25,C0082,P005,East,9,6588.708218874704,1054.0206942011112
O100095,2023-03-26,C0010,P030,South,5,4150.2620625910895,797.3840536126633
O100096,2024-10-12,C0033,P001,South,1,409.2313795599744,94.8526434345615
O100097,2024-05-02,C0026,P025,South,1,937.7268884676853,228.53808603560677
O100098,2022-04-15,C0099,P001,North,7,1452.7329987503967,308.33611368294174
O100099,2023-06-02,C0197,P031,North,6,763.4963471880812,76.14742558322183
O100100,2024-02-10,C0181,P023,North,5,1852.5374830038718,276.548196724541
O100101,2023-11-08,C0083,P017,North,9,7358.328153542029,498.93885164078824
O100102,2022-01-01,C0051,P045,North,4,2822.7363061851333,459.8757730062011
O100103,2023-03-25,C0113,P040,West,2,985.1757756007216,288.2475096618246
O100104,2022-04-05,C0072,P039,South,2,661.2565055498038,139.14997657889887
O100105,2023-03-14,C0118,P003,East,2,306.69101618235896,27.189118118282384
O100106,2022-09-25,C0193,P044,North,9,3633.7951854245275,425.6788110223648
O100107,2023-02-05,C0112,P047,East,5,2570.0889548963733,169.9944515297088
O100108,2024-05-02,C0142,P002,East,3,2154.964362792254,206.0220762785596
O100109,2022-04-13,C0166,P034,South,2,1362.7495189035758,234.33896718279667
O100110,2022-04-08,C0082,P030,East,3,2857.8312379160707,389.27689675616506
O100111,2023-03-23,C0052,P038,North,8,1522.8506171805996,153.79356605784014
O100112,2024-10-16,C0030,P042,East,1,402.70611059122274,34.89432476574647
O100113,2022-05-13,C0029,P004,South,8,4267.362189945668,913.291379123271
O100114,2024-02-24,C0084,P024,North,2,1407.2524289371806,266.71035280934245
O100115,2022-02-22,C0194,P013,South,3,1637.7195668917968,426.88811013611536
O100116,2022-04-21,C0151,P016,East,6,5528.894452512389,529.7411884523851
O100117,2024-06-18,C0104,P004,West,9,5830.245999358489,1527.5032587831306
O100118,2023-10-29,C0093,P032,South,3,407.09660616628116,79.17124956198744
O100119,2024-10-25,C0092,P042,North,6,1213.7422329571252,141.46869512933574
O100120,2024-04-17,C0001,P005,North,2,1556.2920106650054,184.24674232302405
O100121,2024-03-04,C0047,P022,East,8,5953.671413693319,878.7327130011408
O100122,2022-12-16,C0107,P048,North,1,238.14730164313463,39.30187884759748
O100123,2024-11-15,C0036,P001,West,1,153.01779495909946,10.807076282792833
O100124,2023-12-20,C0047,P022,South,7,4345.922489271172,1132.111901967773
O100125,2022-03-19,C0130,P045,South,8,5377.31959059248,432.2572728142609
O100126,2024-06-01,C0007,P003,East,7,1552.3877163308598,265.2486662312515
O100127,2024-01-20,C0107,P047,West,2,1052.5147778734677,153.39567011605774
O100128,2024-03-16,C0115,P015,West,9,3377.235385859145,601.3902865071824
O100129,2023-04-30,C0028,P010,East,9,8443.57572965879,2295.5602468862676
O100130,2022-03-27,C0126,P044,North,1,297.27982305046413,88.37299281594836
O100131,2022-01-25,C0068,P010,East,9,6839.411879816727,376.63166077749884
O100132,2022-04-19,C0146,P047,West,6,3397.9231320594226,503.9454969772059
O100133,2022-02-03,C0111,P008,West,1,110.36891082343905,28.078141484949434
O100134,2024-01-18,C0083,P042,North,5,2826.49362445678,372.10992092026385
O100135,2023-11-23,C0026,P034,East,8,1516.1994794204106,321.82705198418967
O100136,2022-11-11,C0109,P006,North,9,6238.403786185025,1859.4485827226576
O100137,2023-10-24,C0021,P006,South,7,4262.798241403905,902.4037902089808
O100138,2023-09-16,C0004,P030,East,8,875.0760368010169,68.07902935430471
O100139,2024-04-02,C0137,P003,East,8,2273.7883729974656,592.8516393873665
O100140,2022-08-17,C0036,P024,East,6,4791.615285508922,1397.5434023708879
O100141,2023-04-13,C0075,P004,East,6,2089.1721172309144,476.59678762899864
O100142,2022-04-28,C0113,P030,West,6,3296.1303662804867,510.13229067207595
O100143,2024-08-04,C0062,P002,East,8,3046.390023746123,874.6187093601499
O100144,2024-11-15,C0179,P045,West,5,4646.87085378893,1357.5508093213796
O100145,2022-11-22,C0154,P004,East,4,2331.6772640203626,661.6814757064548
O100146,2022-08-13,C0020,P049,West,1,726.5561633704187,111.13021674888239
O100147,2022-03-31,C0142,P038,North,4,700.5139769095888,173.3260146674639
O100148,2024-04-24,C0003,P033,South,2,272.60477755895386,58.21334354123243
O100149,2022-01-10,C0005,P023,South,2,666.6107511208356,63.2791364378948
O100150,2022-01-13,C0168,P002,West,1,378.22086302828865,69.54677022062502
O100151,2022-11-25,C0017,P009,East,8,5751.299896495293,1362.6138006777626
O100152,2022-11-14,C0188,P044,South,5,3061.0872622059856,838.6707771131449
O100153,2023-01-11,C0137,P034,West,3,1311.3649387244602,348.36356172422535
O100154,2023-05-28,C0040,P022,West,8,5509.645886081678,488.5106866277099
O100155,2024-05-22,C0014,P030,East,5,1236.045863013292,212.61016198341238
O100156,2022-01-05,C0083,P014,South,4,628.5629013329412,106.58362440424716
O100157,2023-08-24,C0042,P025,South,8,6952.436664691044,1909.7249584985068
O100158,2023-09-08,C0014,P032,East,6,3645.3090926519385,184.03097728557154
O100159,2024-11-12,C0063,P015,North,9,6157.671716463112,1445.0724501265906
O100160,2022-05-25,C0194,P014,North,8,3012.1442053969336,616.4665750905477
O100161,2022-04-14,C0179,P039,East,6,2608.5567717835784,731.420715348504
O100162,2023-08-02,C0135,P008,South,4,696.5228097507127,114.38947965676385
O100163,2024-11-04,C0111,P029,North,4,3485.1574760863846,747.2807134213577
O100164,2023-04-23,C0155,P036,North,6,3799.1730304262483,1113.8672223724986
O100165,2024-10-17,C0155,P033,South,4,701.0595874477863,165.43319565506002
O100166,2023-08-21,C0066,P010,North,1,824.0766397525006,55.08622173113206
O100167,2024-03-16,C0141,P031,East,4,1998.815330261108,183.65792401737107
O100168,2022-08-04,C0180,P015,North,8,6308.729721224096,1611.014733004824
O100169,2022-02-16,C0068,P012,North,2,222.71575176046642,29.77684773652344
O100170,2022-04-05,C0115,P036,West,5,629.3286363745518,142.53005230245572
O100171,2022-01-11,C0074,P040,South,6,1522.2279774235813,342.4342154114278
O100172,2023-12-13,C0023,P047,South,8,2318.5992042128946,691.928270899102
O100173,2024-08-15,C0111,P040,West,4,3150.2399091164957,527.5649470069415
O100174,2024-10-04,C0068,P005,West,5,3680.1237380746916,862.8347830581174
O100175,2022-05-07,C0106,P049,West,9,5890.313764951608,366.3081242874117
O100176,2024-10-10,C0051,P029,South,8,7170.98405468004,1187.8574110410775
O100177,2024-02-18,C0151,P001,South,5,1612.1695264536481,155.84905074904978
O100178,2023-02-24,C0182,P023,North,1,913.9644135140035,237.76134199522255
O100179,2023-07-21,C0115,P040,East,5,4592.619811693321,1193.9759019904907
O100180,2024-08-26,C0053,P009,South,4,1963.3351366727102,214.18239989133107
O100181,2022-11-09,C0117,P026,North,3,554.842741134456,71.89168876110813
O100182,2023-07-29,C0025,P026,East,6,4523.423504223435,1020.572305566862
O100183,2023-01-21,C0135,P018,East,2,806.4716107647424,189.17120764498986
O100184,2022-12-13,C0017,P043,East,3,2446.3096970791726,524.5081261934847
O100185,2023-10-26,C0025,P007,West,6,1483.927533080537,443.952030328726
O100186,2022-06-26,C0029,P043,South,2,1171.1272044338575,312.8909956193799
O100187,2024-12-08,C0199,P017,West,9,5015.397215577508,773.6988480933938
O100188,2023-11-20,C0148,P022,West,8,1522.2643321012172,200.54946676271118
O100189,2023-07-15,C0071,P001,West,7,2988.9968017377482,595.4453370564538
O100190,2023-03-11,C0123,P019,South,1,176.27978210205524,44.847177884965994
O100191,2023-03-05,C0030,P016,West,3,1554.7988356830679,262.50581166293773
O100192,2022-01-18,C0001,P014,East,2,1717.2282055048272,402.55804813616
O100193,2022-07-13,C0113,P050,South,6,2059.105721842311,112.81842283651972
O100194,2024-08-04,C0063,P004,North,8,6307.00630774955,1775.170166138395
O100195,2024-07-13,C0055,P039,East,3,795.2540221536321,193.6114959923875
O100196,2022-06-11,C0124,P033,East,7,4944.530043191105,734.4976838428962
O100197,2024-10-28,C0065,P003,West,7,6467.885619561832,944.3312304682732
O100198,2023-03-19,C0072,P047,North,3,1174.6058202275785,88.9431518128865
O100199,2024-12-10,C0097,P028,East,8,7282.963794238051,1850.1526951041562
O100200,2022-04-06,C0088,P014,West,8,4439.03067099004,1074.944025104668
O100201,2024-03-24,C0144,P004,West,5,1925.6230992454587,399.6870037430923
O100202,2022-07-01,C0142,P031,East,2,1813.7148232007567,136.68901801936036
O100203,2022-01-07,C0074,P007,North,7,901.8347806492875,104.23888101609994
O100204,2022-05-27,C0112,P019,West,2,250.43393229105882,41.25363564578753
O100205,2023-05-29,C0129,P047,North,4,2559.3865751427984,298.1505843158387
O100206,2024-01-16,C0130,P003,East,7,5719.529519180476,906.5081419659217
O100207,2023-01-31,C0020,P005,North,6,4658.350060165773,496.0648337643681
O100208,2024-06-23,C0053,P044,East,4,686.09021206578,94.26888155193238
O100209,2024-05-03,C0108,P024,North,8,7641.808593441616,1628.2724123080543
O100210,2022-02-28,C0128,P032,North,2,1465.514367747528,400.2177146627153
O100211,2023-06-10,C0009,P040,South,9,8587.807635194686,1256.0327377786011
O100212,2023-05-09,C0004,P026,South,2,792.3759661533837,176.6816615965402
O100213,2024-03-15,C0075,P006,South,5,3622.7260759226783,303.21591101914754
O100214,2022-02-11,C0100,P041,South,2,1747.8897441202735,323.71703643850134
O100215,2024-11-06,C0165,P025,South,7,3096.924605872048,868.4583541576056
O100216,2022-12-08,C0027,P031,South,8,7746.991415133705,441.4541800832361
O100217,2023-09-02,C0012,P045,North,5,1692.4675604924346,197.83141684801262
O100218,2023-03-31,C0138,P045,North,5,1920.261317095493,159.61861772759212
O100219,2023-12-03,C0122,P046,West,2,1856.5914379286696,340.27676544866057
O100220,2024-10-16,C0054,P043,North,3,2918.0813155572987,641.7170596943292
O100221,2023-11-24,C0036,P026,North,5,1783.3808673731737,114.92961978306597
O100222,2022-01-11,C0164,P049,East,7,1559.2572497500082,105.3607355945651
O100223,2024-01-14,C0054,P034,East,8,6265.198949916303,1675.3599238025663
O100224,2024-01-28,C0150,P005,West,1,936.6987396704034,153.6731907982814
O100225,2024-01-21,C0148,P019,East,4,2562.5691173267487,424.7148238790915
O100226,2024-08-15,C0109,P043,South,9,6039.603530690599,1728.2029486370707
O100227,2022-06-03,C0194,P009,North,8,6293.192006040562,818.4447401961863
O100228,2024-11-06,C0129,P025,North,8,1902.2106956581392,521.6925286939182
O100229,2022-02-11,C0025,P039,East,3,2928.3660205357965,859.6619233675178
O100230,2022-04-18,C0172,P030,South,2,855.7928925114705,94.49968875319874
O100231,2023-06-08,C0019,P037,West,1,665.4163833480363,118.78328715325104
O100232,2024-08-14,C0017,P010,North,7,3652.280929149955,670.5187431103857
O100233,2022-01-12,C0062,P016,West,3,1564.0886453650814,416.895359426074
O100234,2023-10-23,C0081,P023,North,6,4394.819609446496,553.6463397826172
O100235,2024-09-02,C0198,P008,North,2,1990.392137970058,496.6239581527659
O100236,2023-05-04,C0109,P026,East,7,4852.077058124494,1420.4545245285633
O100237,2023-02-05,C0151,P026,North,6,4887.91931049277,1271.2704035905679
O100238,2022-09-07,C0135,P014,East,5,624.2722576802156,173.10137720939983
O100239,2022-05-17,C0115,P048,West,2,1658.769264316673,376.68760618899194
O100240,2024-04-06,C0082,P031,South,4,1479.9131743658697,408.4396683878198
O100241,2024-07-23,C0146,P042,East,1,214.03166053119838,19.522396832580345
O100242,2024-09-21,C0108,P045,South,3,606.0020307088057,138.2232175638962
O100243,2024-03-15,C0171,P040,South,7,4983.211329268648,1160.9354481956902
O100244,2024-09-09,C0108,P039,East,8,7982.84121949196,1275.620001607365
O100245,2023-05-12,C0004,P029,South,9,6296.180296820488,440.32095661041194
O100246,2023-12-23,C0161,P016,North,2,672.2266701201963,138.21715522752388
O100247,2022-11-07,C0170,P034,South,7,1980.8276173185202,124.73311448181808
O100248,2024-11-28,C0046,P029,South,1,573.3613893412366,83.48177608803086
O100249,2023-04-22,C0062,P044,North,8,1268.2829553250638,188.2354581234684
O100250,2023-01-12,C0010,P030,North,7,3215.784247441279,963.8690291547923
O100251,2022-12-06,C0133,P001,South,1,699.6114136052087,87.4168018349953
O100252,2022-01-03,C0173,P014,West,2,1941.7920964552716,495.3773478642192
O100253,2022-11-20,C0146,P037,North,1,483.0881030340447,30.57605728851671
O100254,2024-08-06,C0073,P015,North,9,2521.8139172991832,460.0835045793912
O100255,2024-08-21,C0140,P037,North,5,4178.130815177529,769.4985508649332
O100256,2024-07-27,C0124,P006,East,8,6158.236578996439,1275.9094151950167
O100257,2022-01-11,C0062,P013,South,9,7863.601494458426,1985.5696066969763
O100258,2023-07-18,C0004,P008,West,6,1759.4811287316177,423.1215093568948
O100259,2024-06-03,C0110,P010,East,2,928.6979525297032,223.12157028666965
O100260,2024-04-04,C0169,P049,South,3,2950.1969818522016,466.3479141717413
O100261,2022-02-23,C0047,P023,North,9,2180.1427901886254,505.5050664012384
O100262,2024-11-09,C0122,P049,North,3,2112.917211719682,365.17321969111623
O100263,2023-11-21,C0082,P017,West,3,940.398046177613,62.76009163511289
O100264,2022-06-09,C0013,P047,North,9,4951.287950888609,1349.4509811309272
O100265,2023-08-03,C0142,P037,South,9,7384.128130945073,2012.4763840458265
O100266,2024-08-09,C0067,P028,North,9,4857.547025702134,634.9770470133446
O100267,2024-07-09,C0076,P042,North,8,6599.468191845753,1837.7912261895588
O100268,2024-08-12,C0124,P015,South,8,3869.611319170491,926.7564697459807
O100269,2024-07-02,C0198,P037,West,5,4997.088184415148,750.5641829806734
O100270,2024-08-30,C0081,P050,West,3,1476.7362323945672,196.22339372878216
O100271,2023-11-29,C0067,P040,South,8,1875.5322461923502,551.0045066440389
O100272,2022-08-04,C0147,P016,West,1,461.682564084324,105.33598909542994
O100273,2023-07-25,C0059,P048,North,9,6915.004795602064,1000.6184032462659
O100274,2022-12-22,C0191,P027,South,7,6042.00787387936,1271.8183202148953
O100275,2022-05-13,C0045,P031,East,5,2570.4648462931805,495.7952431549381
O100276,2022-03-23,C0100,P002,South,7,4445.2040986681695,805.1820696431937
O100277,2024-12-05,C0155,P049,North,1,860.4010610436612,181.69560250082642
O100278,2022-12-26,C0098,P024,North,3,2496.5746859954634,460.38480091985633
O100279,2024-10-04,C0070,P019,South,7,4843.660603775137,1035.0785901594343
O100280,2023-08-09,C0063,P028,West,5,4167.621969128847,1153.9817680599222
O100281,2024-09-15,C0022,P004,West,4,2473.2787301270932,737.8192162798711
O100282,2024-01-01,C0192,P017,West,6,625.1001121965155,142.09883163716546
O100283,2023-02-05,C0138,P001,South,8,1097.120847696007,309.33892851640627
O100284,2022-07-29,C0050,P014,West,4,3927.310237257459,1039.176356323198
O100285,2024-02-02,C0180,P012,East,1,230.49283780243468,28.52564366975957
O100286,2024-05-28,C0079,P032,East,7,3248.4533755878156,920.0496904366331
O100287,2024-01-08,C0029,P004,North,3,2821.2904425269135,191.00771089968285
O100288,2023-02-01,C0039,P015,East,4,1102.142145038978,146.01229313697348
O100289,2024-08-31,C0084,P022,East,3,2578.236630059552,541.3941997300473
O100290,2024-04-28,C0126,P044,West,5,4182.204056718157,760.0271816784377
O100291,2022-10-30,C0101,P020,South,3,2963.0900672886173,549.958696756165
O100292,2023-07-24,C0124,P038,East,2,707.027300566703,175.85330254617304
O100293,2024-10-05,C0025,P024,West,2,767.5856396842627,75.74221961334523
O100294,2023-05-07,C0027,P008,West,9,8213.31180856807,2427.188686158713
O100295,2023-06-04,C0079,P027,South,2,621.3423065641032,99.01994132177207
O100296,2022-07-18,C0131,P029,West,5,2965.554306441991,852.4806614193878
O100297,2023-01-13,C0131,P020,South,9,6629.494169447556,966.4408059485306
O100298,2024-01-04,C0199,P017,South,4,1378.7832829463885,276.3725138754768
O100299,2023-06-05,C0166,P048,North,6,5667.429905401697,921.39867010063
O100300,2024-10-10,C0117,P002,West,8,5593.022346132227,1224.7812362967659
O100301,2023-01-30,C0064,P013,North,8,1139.4030195427404,109.27579375790219
O100302,2022-10-01,C0064,P018,South,6,1332.9826688089352,200.15685616712622
O100303,2022-01-11,C0045,P025,North,6,1630.2204784944433,109.38010032521312
O100304,2024-02-18,C0179,P024,North,1,320.4616275941047,63.940219768445246
O100305,2023-08-11,C0121,P046,West,6,4545.657798158957,1321.288282492087
O100306,2022-04-02,C0148,P033,South,8,1440.3337622393703,88.54686403395255
O100307,2022-08-30,C0097,P002,North,1,415.53520504852105,89.3016346242809
O100308,2023-08-12,C0116,P026,South,7,6441.714936966411,1570.325779342561
O100309,2022-07-13,C0166,P039,South,2,1202.0018354066074,124.1392710208603
O100310,2022-05-23,C0106,P044,North,8,2711.575259637457,320.6941374671561
O100311,2022-11-13,C0195,P006,North,6,5768.104000993673,579.0903675661333
O100312,2022-08-11,C0160,P041,South,8,2559.0744221745135,318.2289889461807
O100313,2022-04-21,C0127,P007,East,4,3658.3586365635138,283.59830211819934
O100314,2022-07-27,C0132,P006,South,6,4519.1562375186,644.3727850187431
O100315,2023-02-14,C0127,P003,East,9,6898.220399366168,981.1497452281844
O100316,2024-05-23,C0014,P011,South,6,4730.672319368727,1191.263068791037
O100317,2024-11-01,C0087,P012,North,9,5003.211427663395,1252.0015208070542
O100318,2022-05-02,C0147,P046,West,8,6664.966827219216,1660.7820380928208
O100319,2022-11-05,C0183,P032,East,2,1705.1475759544826,326.977357023823
O100320,2024-07-02,C0150,P037,West,8,3395.5043960680428,446.40754601548025
O100321,2024-05-22,C0059,P003,West,3,1380.9301991842133,210.9248378318344
O100322,2022-02-04,C0189,P029,South,1,899.8810466851232,116.47689174493155
O100323,2024-06-21,C0076,P049,South,5,2861.281671932859,559.328995823549
O100324,2022-06-08,C0186,P024,West,5,4401.2457317384105,1252.1314376223002
O100325,2023-05-31,C0108,P020,West,8,5312.740124656213,643.5013762299224
O100326,2024-08-04,C0096,P041,West,5,3171.054905370691,522.313822064789
O100327,2024-05-15,C0066,P015,South,4,511.53143180030276,109.35479690771405
O100328,2022-10-22,C0170,P012,East,2,700.2099161133495,182.87643413810704
O100329,2022-01-21,C0143,P033,East,8,4414.815057696691,500.34635475260205
O100330,2022-04-10,C0087,P042,West,2,1257.1709098424617,150.95163866555222
O100331,2023-01-10,C0037,P005,South,9,6006.519684905947,1629.51703271918
O100332,2022-11-14,C0060,P047,South,8,5956.804340083643,417.36069636877846
O100333,2022-08-19,C0084,P002,East,6,4143.660534385612,834.3753643404281
O100334,2024-06-09,C0089,P028,South,3,2591.157109968661,686.951647805473
O100335,2022-09-18,C0193,P040,West,8,2927.3864687900964,820.9436372106164
O100336,2022-10-28,C0151,P047,East,3,2032.2389612979093,108.0578311558774
O100337,2023-09-22,C0014,P016,South,9,1314.3920649897975,187.19111012825311
O100338,2022-05-13,C0020,P008,East,1,532.171069589825,60.83577257894999
O100339,2022-11-09,C0064,P020,West,9,3071.0670242103292,589.6698892262363
O100340,2023-11-18,C0165,P049,North,8,3542.3874677218114,737.5802229307137
O100341,2022-06-05,C0111,P015,South,4,1676.7859063538529,502.94123371300174
O100342,2022-11-30,C0130,P009,East,5,771.9380471868698,137.5521224910485
O100343,2024-11-09,C0026,P029,North,7,3639.8685447336657,683.8101635812441
O100344,2024-11-24,C0198,P037,North,5,4975.83179596199,764.1801712070642
O100345,2024-10-05,C0179,P014,West,4,1476.169804611341,128.30766006199525
O100346,2023-11-24,C0043,P034,North,2,1525.0627490028512,191.90041488680015
O100347,2024-11-28,C0184,P047,East,2,1186.019002856784,132.5331515989149
O100348,2024-07-07,C0172,P038,West,7,2748.9193933482843,688.0680566374102
O100349,2023-01-19,C0126,P045,West,2,361.2927087063581,67.3645087850795
O100350,2024-01-16,C0124,P008,South,5,1471.3605534434557,182.5199335921908
O100351,2022-05-09,C0008,P029,West,6,4822.009113247317,830.7030644066305
O100352,2023-06-01,C0086,P047,South,1,351.1181596767808,36.76776672642306
O100353,2022-11-07,C0119,P026,East,2,459.74446834133573,44.26501927102441
O100354,2022-10-30,C0113,P012,East,8,3185.348051316846,844.0712349767148
O100355,2022-12-11,C0046,P004,North,1,625.6386570049211,179.05948137821284
O100356,2024-12-12,C0048,P005,North,2,1466.2336957219984,102.64171332257762
O100357,2024-10-06,C0192,P006,East,9,4037.655179453598,973.9659150591151
O100358,2023-11-19,C0013,P009,North,9,4934.991972334627,806.0217969255694
O100359,2024-08-28,C0068,P034,North,6,3056.5501369806925,450.0553377296212
O100360,2023-05-09,C0132,P038,East,6,648.6180895865052,144.2220661138849
O100361,2023-02-01,C0023,P019,North,1,456.04042737026344,53.157632480711115
